solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,strategy,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,sub_category,detected_priority,complexity_level,risk_level,surplus_usd_weight,surplus_pct_weight,price_impact_weight,gas_cost_weight,gas_efficiency_weight,total_cost_weight,success_rate_weight,reliability_weight,guarantee_weight
15000,120000,161623,immediate,506,2.18,3,True,False,True,minimize_gas,19,40,18,23,False,1,1,"[""stable""]","[""stable""]",2844.91,2839.26,coingecko,0.928,1.79,356,False,0.0,api,4,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,medium,,,,40,0.339,0.259,,,
60000,300000,49579,good_til_cancel,671,2.85,3,True,True,False,fastest_execution,27,24,0,49,True,2,2,"[""native"", ""volatile""]","[""stable"", ""volatile""]",78848.55,80295.88,internal,0.933,1.29,332,False,0.0,web,3,Reputation-Trust,,,,swap,cross_chain,balanced,moderate,medium,,,,24,,,0.436,0.338,0.226
3000,60000,113717,good_til_cancel,612,2.89,4,True,False,True,maximize_output,40,7,14,39,True,1,1,"[""native""]","[""stable""]",46837.65,46146.96,1inch,0.807,1.56,137,False,0.0,web,0,Surplus-First,315.16,0.68,1.32,complex_defi,aggregated_swap,output,complex,medium,0.498,0.324,0.178,7,,,,,
15000,300000,290030,immediate,750,2.67,4,True,True,True,balanced,51,10,15,24,True,2,2,"[""volatile"", ""native""]","[""native"", ""stable""]",9804.54,9613.96,internal,0.727,1.58,234,False,0.0,mobile,2,Surplus-First,187.49,1.95,1.46,complex_defi,multi_token,balanced,moderate,high,0.483,0.346,0.171,10,,,,,
10000,120000,311820,good_til_cancel,683,2.91,4,True,True,False,maximize_output,18,17,16,49,False,2,1,"[""native"", ""stable""]","[""volatile""]",46408.21,46855.67,paraswap,0.85,1.21,453,False,0.0,mobile,2,Reputation-Trust,,,,swap,simple_swap,balanced,complex,high,,,,17,,,0.371,0.311,0.318
3000,30000,60475,fill_or_kill,547,2.21,2,True,False,False,minimize_gas,23,52,18,7,True,2,1,"[""native"", ""native""]","[""stable""]",17246.68,17222.03,coingecko,0.768,1.27,470,False,0.0,telegram,1,Gas-Optimized,,,,swap,simple_swap,cost,moderate,low,,,,52,0.339,0.216,,,
5000,300000,461245,good_til_cancel,782,2.32,4,True,True,False,maximize_output,28,14,23,35,True,3,1,"[""stable"", ""native"", ""volatile""]","[""stable""]",17735.8,17207.72,internal,0.859,1.34,595,False,0.0,mobile,0,Reputation-Trust,,,,swap,simple_swap,balanced,complex,medium,,,,14,,,0.394,0.369,0.237
3000,60000,142577,immediate,607,2.14,3,False,True,False,minimize_gas,20,59,20,1,False,1,1,"[""native""]","[""stable""]",10779.34,10829.73,paraswap,0.778,1.04,470,False,0.0,web,0,Gas-Optimized,,,,complex_defi,split_route,cost,complex,medium,,,,59,0.252,0.346,,,
3000,30000,90297,good_til_cancel,630,2.07,2,True,False,True,minimize_gas,24,41,15,20,True,1,2,"[""volatile""]","[""volatile"", ""stable""]",119.38,118.43,coingecko,0.799,0.51,565,True,0.816,api,0,Gas-Optimized,,,,limit_order,standard_limit,cost,simple,low,,,,41,0.299,0.276,,,
30000,300000,56418,good_til_cancel,677,2.49,2,True,True,False,balanced,18,10,31,41,True,1,1,"[""native""]","[""stable""]",13651.41,13305.35,internal,0.96,1.94,284,True,0.818,web,5,Reputation-Trust,,,,swap,multi_hop_swap,balanced,moderate,high,,,,10,,,0.447,0.387,0.166
30000,300000,204968,fill_or_kill,804,2.48,2,True,True,False,balanced,30,25,2,43,True,1,1,"[""native""]","[""volatile""]",40335.28,39278.07,1inch,0.829,1.44,612,True,0.694,telegram,1,Reputation-Trust,,,,complex_defi,split_route,balanced,moderate,high,,,,25,,,0.359,0.327,0.314
15000,30000,113716,fill_or_kill,527,2.34,2,True,False,True,minimize_gas,19,44,10,27,True,1,1,"[""volatile""]","[""stable""]",14627.18,14732.0,1inch,0.917,1.16,346,False,0.0,api,3,Gas-Optimized,,,,swap,simple_swap,cost,moderate,medium,,,,44,0.28,0.282,,,
30000,120000,391623,good_til_cancel,899,2.92,2,False,True,True,balanced,15,18,14,53,True,2,1,"[""native"", ""volatile""]","[""native""]",35759.29,34892.56,paraswap,0.892,1.79,471,True,0.682,mobile,5,Reputation-Trust,,,,complex_defi,multi_token,cost,complex,high,,,,18,,,0.374,0.345,0.281
3000,120000,55698,good_til_cancel,529,2.48,3,True,False,False,balanced,10,58,18,14,False,1,1,"[""stable""]","[""native""]",10184.19,10110.56,internal,0.798,1.22,111,True,0.703,web,1,Gas-Optimized,,,,swap,simple_swap,cost,complex,medium,,,,58,0.269,0.316,,,
60000,300000,80159,good_til_cancel,626,2.42,2,True,True,False,balanced,18,10,24,48,False,1,1,"[""volatile""]","[""native""]",59810.74,58807.16,1inch,0.828,2.3,403,True,0.906,api,0,Reputation-Trust,,,,complex_defi,aggregated_swap,output,moderate,medium,,,,10,,,0.409,0.394,0.197
30000,300000,97022,good_til_cancel,901,2.21,2,True,False,False,maximize_output,45,10,14,31,True,3,1,"[""volatile"", ""native"", ""native""]","[""stable""]",45979.05,46881.36,1inch,0.903,1.2,199,False,0.0,mobile,5,Surplus-First,381.15,0.81,1.38,complex_defi,aggregated_swap,output,complex,medium,0.488,0.309,0.203,10,,,,,
15000,60000,234692,good_til_cancel,811,2.38,4,True,True,True,maximize_output,27,12,10,51,False,1,1,"[""stable""]","[""stable""]",89557.75,89412.27,coingecko,0.894,1.29,618,False,0.0,web,0,Reputation-Trust,,,,swap,multi_hop_swap,balanced,complex,high,,,,12,,,0.382,0.373,0.245
5000,60000,186492,good_til_cancel,579,2.32,2,False,True,True,minimize_gas,17,48,16,19,False,1,1,"[""volatile""]","[""volatile""]",17245.6,17332.12,1inch,0.845,1.64,74,False,0.0,web,3,Gas-Optimized,,,,limit_order,standard_limit,cost,moderate,medium,,,,48,0.301,0.238,,,
10000,60000,145009,good_til_cancel,687,2.22,2,False,True,True,minimize_gas,19,41,15,25,True,1,1,"[""native""]","[""native""]",6761.48,6761.73,paraswap,0.916,0.8,135,True,0.817,api,1,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,medium,,,,41,0.273,0.251,,,
5000,30000,189071,immediate,743,2.69,3,False,False,False,maximize_output,45,6,17,32,True,2,1,"[""volatile"", ""native""]","[""stable""]",31384.04,30817.59,paraswap,0.934,1.56,459,True,0.889,web,2,Surplus-First,177.9,0.58,1.3,complex_defi,split_route,output,moderate,medium,0.477,0.304,0.219,6,,,,,
3000,60000,132310,good_til_cancel,552,2.18,2,True,False,False,minimize_gas,15,42,17,26,False,1,1,"[""stable""]","[""native""]",19057.17,18787.45,1inch,0.934,0.9,410,False,0.0,telegram,1,Gas-Optimized,,,,swap,simple_swap,cost,simple,medium,,,,42,0.251,0.327,,,
15000,120000,33124,fill_or_kill,569,2.16,3,True,True,False,minimize_gas,12,46,16,26,True,2,1,"[""stable"", ""stable""]","[""volatile""]",19411.27,19563.59,internal,0.76,0.84,357,False,0.0,web,4,Gas-Optimized,,,,complex_defi,split_route,cost,simple,medium,,,,46,0.294,0.208,,,
10000,600000,415837,good_til_cancel,892,2.41,4,False,False,False,balanced,27,13,25,35,True,2,1,"[""volatile"", ""native""]","[""stable""]",62934.02,62626.85,paraswap,0.931,2.06,623,False,0.0,web,0,Reputation-Trust,,,,complex_defi,multi_token,cost,moderate,high,,,,13,,,0.361,0.307,0.332
5000,300000,314596,good_til_cancel,642,2.85,3,True,True,False,balanced,22,14,15,49,False,1,1,"[""volatile""]","[""volatile""]",45840.02,45988.75,paraswap,0.805,2.23,125,False,0.0,mobile,1,Reputation-Trust,,,,complex_defi,split_route,output,moderate,medium,,,,14,,,0.369,0.4,0.231
60000,60000,183500,immediate,777,2.95,4,False,True,True,fastest_execution,28,15,17,40,True,1,1,"[""stable""]","[""stable""]",5281.88,5194.63,paraswap,0.827,1.87,380,True,0.772,api,2,Reputation-Trust,,,,complex_defi,split_route,balanced,moderate,high,,,,15,,,0.404,0.376,0.22
15000,60000,294235,fill_or_kill,990,2.06,2,True,True,True,maximize_output,60,8,11,21,True,1,1,"[""volatile""]","[""volatile""]",33504.36,33532.03,internal,0.891,1.02,594,False,0.0,web,0,Surplus-First,602.03,1.8,1.03,swap,multi_hop_swap,output,moderate,medium,0.494,0.318,0.188,8,,,,,
5000,120000,167375,fill_or_kill,927,2.64,2,False,False,True,maximize_output,60,8,10,22,False,1,2,"[""volatile""]","[""volatile"", ""stable""]",29262.76,29212.39,paraswap,0.882,1.71,760,True,0.731,web,2,Surplus-First,417.13,1.43,0.39,complex_defi,aggregated_swap,output,simple,high,0.436,0.364,0.2,8,,,,,
15000,60000,55744,good_til_cancel,501,2.2,2,False,False,True,balanced,41,10,15,34,True,1,2,"[""stable""]","[""native"", ""native""]",41477.18,40348.72,1inch,0.734,2.04,123,False,0.0,web,5,Surplus-First,395.01,0.98,1.78,swap,multi_hop_swap,output,complex,medium,0.403,0.337,0.26,10,,,,,
15000,60000,199083,good_til_cancel,608,2.46,3,False,False,True,maximize_output,30,24,-6,52,True,3,1,"[""native"", ""volatile"", ""native""]","[""native""]",2436.38,2476.36,internal,0.853,1.23,435,False,0.0,telegram,0,Reputation-Trust,,,,swap,simple_swap,balanced,moderate,high,,,,24,,,0.427,0.337,0.236
10000,120000,180580,immediate,632,2.3,2,False,True,False,balanced,20,47,14,19,True,1,1,"[""stable""]","[""volatile""]",17436.54,17553.89,coingecko,0.859,1.47,291,True,0.829,web,0,Gas-Optimized,,,,swap,simple_swap,balanced,moderate,medium,,,,47,0.322,0.248,,,
15000,120000,120241,good_til_cancel,619,2.06,3,False,False,False,balanced,12,57,14,17,False,1,2,"[""native""]","[""volatile"", ""native""]",10256.78,10287.49,1inch,0.957,1.13,439,True,0.672,api,2,Gas-Optimized,,,,swap,multi_hop_swap,balanced,moderate,low,,,,57,0.33,0.261,,,
10000,60000,137437,good_til_cancel,607,2.26,3,True,False,False,balanced,48,10,14,28,True,1,1,"[""stable""]","[""volatile""]",2269.36,2217.17,paraswap,0.708,2.32,338,False,0.0,api,2,Surplus-First,500.58,22.58,1.48,swap,simple_swap,balanced,complex,medium,0.415,0.329,0.256,10,,,,,
15000,120000,171122,immediate,573,2.14,3,False,False,True,minimize_gas,13,43,12,32,True,1,2,"[""stable""]","[""stable"", ""volatile""]",12757.36,12660.99,coingecko,0.765,1.37,465,False,0.0,web,2,Gas-Optimized,,,,complex_defi,aggregated_swap,cost,simple,low,,,,43,0.293,0.243,,,
5000,120000,24817,fill_or_kill,557,2.49,3,False,True,True,balanced,18,54,10,18,False,1,2,"[""stable""]","[""volatile"", ""volatile""]",7604.32,7535.28,internal,0.976,1.11,466,False,0.0,telegram,2,Gas-Optimized,,,,swap,simple_swap,cost,complex,low,,,,54,0.338,0.202,,,
10000,120000,75344,immediate,652,2.5,3,True,True,False,minimize_gas,25,49,10,16,True,1,1,"[""volatile""]","[""volatile""]",6885.57,6935.9,paraswap,0.956,1.39,174,False,0.0,mobile,4,Gas-Optimized,,,,complex_defi,split_route,cost,moderate,low,,,,49,0.285,0.305,,,
5000,120000,151796,good_til_cancel,869,2.78,3,True,True,False,minimize_gas,24,10,17,49,True,2,1,"[""native"", ""native""]","[""volatile""]",45710.9,46501.33,internal,0.868,2.27,659,False,0.0,api,2,Reputation-Trust,,,,complex_defi,split_route,balanced,complex,medium,,,,10,,,0.436,0.333,0.231
3000,60000,272085,good_til_cancel,545,2.63,3,False,False,True,maximize_output,46,6,18,30,True,2,2,"[""volatile"", ""native""]","[""stable"", ""volatile""]",33136.69,32600.58,1inch,0.733,1.22,292,False,0.0,mobile,1,Surplus-First,188.62,0.58,1.35,swap,simple_swap,output,moderate,medium,0.489,0.345,0.166,6,,,,,
3000,60000,84522,good_til_cancel,715,2.05,3,False,True,True,balanced,55,5,11,29,True,1,1,"[""stable""]","[""volatile""]",22892.53,22592.44,internal,0.838,2.08,185,True,0.777,telegram,3,Surplus-First,417.14,1.85,1.83,swap,simple_swap,balanced,moderate,medium,0.434,0.305,0.261,5,,,,,
15000,60000,144934,immediate,555,2.23,2,True,True,False,minimize_gas,14,42,14,30,False,1,1,"[""native""]","[""native""]",19427.42,19530.14,coingecko,0.889,0.77,477,False,0.0,telegram,3,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,low,,,,42,0.333,0.197,,,
3000,30000,14889,good_til_cancel,658,2.1,2,False,True,True,balanced,22,41,14,23,True,1,1,"[""volatile""]","[""native""]",12643.37,12433.37,coingecko,0.907,1.23,116,True,0.758,telegram,0,Gas-Optimized,,,,limit_order,standard_limit,cost,moderate,medium,,,,41,0.314,0.276,,,
15000,60000,430878,good_til_cancel,869,2.9,4,False,False,False,balanced,19,18,16,47,True,1,1,"[""stable""]","[""volatile""]",26905.73,26125.72,coingecko,0.939,2.18,520,True,0.697,telegram,5,Reputation-Trust,,,,swap,simple_swap,balanced,complex,medium,,,,18,,,0.352,0.308,0.34
10000,120000,159873,fill_or_kill,577,2.02,2,False,False,True,minimize_gas,15,44,12,29,True,1,1,"[""stable""]","[""volatile""]",12851.04,12807.42,1inch,0.97,1.77,57,False,0.0,mobile,4,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,medium,,,,44,0.275,0.282,,,
15000,120000,586186,good_til_cancel,703,2.72,4,True,True,False,balanced,27,14,16,43,True,2,1,"[""native"", ""native""]","[""stable""]",88425.95,85877.94,paraswap,0.819,1.83,292,False,0.0,mobile,4,Reputation-Trust,,,,limit_order,standard_limit,balanced,complex,medium,,,,14,,,0.365,0.324,0.311
5000,120000,97968,good_til_cancel,514,2.47,2,True,True,True,fastest_execution,22,54,15,9,True,1,1,"[""volatile""]","[""stable""]",5350.98,5285.92,internal,0.921,1.71,275,False,0.0,telegram,3,Gas-Optimized,,,,swap,simple_swap,output,simple,medium,,,,54,0.327,0.181,,,
15000,120000,56415,fill_or_kill,862,2.02,4,False,True,True,maximize_output,59,13,19,9,False,1,1,"[""volatile""]","[""native""]",6454.02,6562.51,1inch,0.979,1.41,260,True,0.89,telegram,0,Surplus-First,769.07,11.72,0.88,swap,cross_chain,output,moderate,high,0.418,0.302,0.28,13,,,,,
3000,30000,125898,good_til_cancel,544,2.1,3,True,True,True,minimize_gas,22,54,20,4,False,1,1,"[""volatile""]","[""volatile""]",19250.06,18956.11,coingecko,0.881,0.92,310,True,0.742,mobile,4,Gas-Optimized,,,,swap,simple_swap,cost,moderate,low,,,,54,0.279,0.231,,,
3000,60000,65121,fill_or_kill,941,2.69,3,True,True,True,maximize_output,51,13,10,26,True,2,1,"[""stable"", ""native""]","[""stable""]",16801.78,16812.49,internal,0.778,1.26,191,False,0.0,web,1,Surplus-First,576.25,3.43,1.06,complex_defi,aggregated_swap,output,complex,high,0.412,0.353,0.235,13,,,,,
5000,600000,391268,immediate,600,2.93,2,True,True,True,minimize_gas,20,24,8,48,True,1,1,"[""stable""]","[""volatile""]",65448.59,65751.94,coingecko,0.846,2.21,167,False,0.0,mobile,1,Reputation-Trust,,,,swap,cross_chain,balanced,complex,high,,,,24,,,0.391,0.397,0.212
15000,120000,284650,immediate,864,2.98,4,True,False,False,maximize_output,41,12,19,28,True,1,1,"[""volatile""]","[""volatile""]",36277.53,35603.5,coingecko,0.713,2.29,300,True,0.765,telegram,1,Surplus-First,491.55,1.38,0.85,complex_defi,aggregated_swap,output,complex,high,0.442,0.372,0.186,12,,,,,
10000,300000,110827,good_til_cancel,654,2.81,2,True,True,False,balanced,25,17,6,52,True,3,2,"[""stable"", ""native"", ""volatile""]","[""native"", ""stable""]",68844.93,68869.45,internal,0.813,2.08,379,False,0.0,telegram,3,Reputation-Trust,,,,limit_order,standard_limit,balanced,moderate,high,,,,17,,,0.415,0.355,0.23
10000,120000,132389,immediate,676,2.43,3,False,False,True,minimize_gas,13,48,16,23,True,1,1,"[""volatile""]","[""stable""]",18897.26,18823.52,internal,0.783,1.18,254,True,0.928,telegram,2,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,medium,,,,48,0.299,0.219,,,
10000,30000,14502,good_til_cancel,565,2.17,2,False,False,True,fastest_execution,15,58,19,8,True,1,1,"[""volatile""]","[""native""]",4037.1,3982.87,1inch,0.777,1.53,328,True,0.914,mobile,1,Gas-Optimized,,,,swap,simple_swap,balanced,moderate,medium,,,,58,0.295,0.238,,,
5000,300000,241333,good_til_cancel,773,2.81,2,True,True,False,fastest_execution,26,10,26,38,True,2,1,"[""volatile"", ""stable""]","[""native""]",16950.34,16589.68,internal,0.948,1.69,171,True,0.66,web,1,Reputation-Trust,,,,complex_defi,aggregated_swap,balanced,complex,low,,,,10,,,0.418,0.32,0.262
10000,300000,209874,good_til_cancel,839,2.79,4,True,False,True,maximize_output,58,10,11,21,True,2,1,"[""native"", ""stable""]","[""volatile""]",48512.86,47238.98,paraswap,0.798,2.04,715,True,0.898,telegram,2,Surplus-First,306.07,0.65,1.87,swap,multi_hop_swap,output,complex,medium,0.5,0.375,0.125,10,,,,,
30000,120000,209703,fill_or_kill,771,2.29,4,False,True,True,balanced,60,13,13,14,True,1,1,"[""stable""]","[""stable""]",21091.49,20559.02,internal,0.791,1.38,206,False,0.0,web,0,Surplus-First,654.8,3.18,1.3,swap,simple_swap,balanced,moderate,high,0.456,0.333,0.211,13,,,,,
5000,120000,233949,immediate,938,2.22,4,False,False,True,balanced,58,10,19,13,True,1,1,"[""native""]","[""native""]",26904.39,27367.81,coingecko,0.926,1.81,120,False,0.0,api,1,Surplus-First,554.91,2.03,1.61,swap,simple_swap,balanced,moderate,high,0.403,0.388,0.209,10,,,,,
15000,120000,174457,good_til_cancel,761,2.12,4,True,False,True,balanced,40,13,18,29,True,1,1,"[""stable""]","[""volatile""]",16038.82,16237.71,paraswap,0.847,2.0,384,False,0.0,api,4,Surplus-First,342.37,2.11,1.23,complex_defi,split_route,balanced,complex,high,0.4,0.329,0.271,13,,,,,
10000,30000,30041,immediate,580,2.4,2,False,True,False,minimize_gas,24,50,16,10,False,1,1,"[""stable""]","[""volatile""]",6243.48,6205.16,1inch,0.805,1.66,73,True,0.65,mobile,0,Gas-Optimized,,,,swap,simple_swap,cost,moderate,low,,,,50,0.344,0.166,,,
5000,30000,132249,good_til_cancel,517,2.07,2,True,True,False,balanced,17,49,19,15,False,2,1,"[""native"", ""stable""]","[""native""]",17455.72,17554.66,paraswap,0.752,1.69,433,True,0.756,web,3,Gas-Optimized,,,,swap,simple_swap,balanced,complex,low,,,,49,0.277,0.236,,,
30000,120000,470136,good_til_cancel,823,2.71,3,True,True,True,fastest_execution,15,16,34,35,True,2,2,"[""volatile"", ""volatile""]","[""volatile"", ""stable""]",80754.16,78758.98,internal,0.847,1.72,81,True,0.674,api,2,Reputation-Trust,,,,swap,simple_swap,balanced,complex,high,,,,16,,,0.422,0.389,0.189
